"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MRPS26",1.84988871996023e-47,-0.270246248075563,0.176,0.389,6.23301505303401e-43
"HSPE1",1.90088418746985e-47,-0.58786926244687,0.351,0.573,6.4048391812609e-43
"SIRPA",2.00976477263573e-47,0.581299463790116,0.445,0.231,6.77170142491884e-43
"RP11-796E2.4",2.20866963459596e-47,0.864713164274102,0.366,0.159,7.44189146680763e-43
"GLIPR2",3.60744434038035e-47,0.599072148050887,0.558,0.363,1.21549229604776e-42
"CCT7",4.04528403590004e-47,-0.405114016960482,0.319,0.568,1.36301800305616e-42
"SCIMP",4.22892196206471e-47,0.575221327615641,0.379,0.165,1.42489296589808e-42
"ODC1",5.03320298698709e-47,-0.434356358889364,0.262,0.5,1.69588741443543e-42
"SPPL2B",5.54345328759075e-47,-0.260777355319123,0.092,0.252,1.86781115072083e-42
"PLK3",5.58991187752143e-47,0.580067009323948,0.577,0.36,1.88346490801207e-42
"PHACTR1",5.59731139530645e-47,0.695448840160998,0.689,0.552,1.88595810153456e-42
"SUPT16H",6.14224548976279e-47,-0.341653847137384,0.211,0.438,2.06956819532067e-42
"SRSF10",6.82939800358234e-47,-0.606997173597895,0.443,0.672,2.30109736332703e-42
"HLA-A",7.32899285747082e-47,0.291695273915489,0.992,0.943,2.46943085339622e-42
"MIR181A1HG",7.4792165049642e-47,-0.316340590827295,0.078,0.224,2.52004720918264e-42
"TSPO",7.78945739625669e-47,0.353785397816902,0.904,0.801,2.62457977509473e-42
"CECR1",7.93722472221929e-47,0.59382273007627,0.481,0.274,2.67436849790457e-42
"DDAH2",8.02861451555424e-47,-0.451765037060456,0.313,0.545,2.70516137487085e-42
"DDX54",1.06995899220396e-46,-0.250216541305654,0.182,0.399,3.60511982833204e-42
"ROMO1",1.24846869600792e-46,-0.347499130387527,0.329,0.586,4.20659042432909e-42
"EEF1B2",1.36421144895507e-46,-0.686012817724387,0.86,0.868,4.59657405610921e-42
"IFI6",1.54015678569549e-46,0.858006926466476,0.386,0.2,5.18940427372239e-42
"TAF7",1.56094180560706e-46,-0.369841686077028,0.227,0.46,5.25943731981242e-42
"HLA-DMA",1.74843181367861e-46,0.481962627636838,0.839,0.76,5.8911661530087e-42
"CD53",2.79627884527683e-46,0.525751047364668,0.701,0.586,9.42178194127576e-42
"CENPW",3.5026584311565e-46,-0.277422047616125,0.142,0.332,1.18018573179387e-41
"KNOP1",4.78388232788118e-46,-0.270419329647044,0.097,0.258,1.61188131155628e-41
"COMMD4",5.73027310924669e-46,-0.259084446499675,0.199,0.423,1.93075822142958e-41
"MYDGF",1.07580707054623e-45,-0.323599590875408,0.25,0.491,3.62482434349846e-41
"PIN4",1.32021488563274e-45,-0.317310188058829,0.273,0.525,4.44833203565095e-41
