"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BCLAF1",0,0.454636802888099,0.849,0.328,0
"SNRPA",0,0.378170519496905,0.796,0.287,0
"PCNP",0,0.337267028790745,0.68,0.189,0
"CST3",0,0.755105017855832,0.782,0.308,0
"MEST",0,0.315061409922448,0.677,0.215,0
"RPL24",0,0.907998095943148,0.996,0.93,0
"EGR1",0,-1.50798514336113,0.645,0.758,0
"ATG3",0,0.620721521761482,0.627,0.13,0
"RPL37",0,-0.466947332103828,0.998,0.998,0
"RPL27A",0,-0.519929954771143,0.996,0.983,0
"IRF2BP2",0,0.675315417686824,0.889,0.339,0
"FOS",0,-1.90910578357374,0.794,0.935,0
"CHCHD7",0,0.41348649147845,0.601,0.095,0
"CYTL1",0,0.683974004805027,0.906,0.425,0
"RPS21",0,-0.529572899175172,0.997,0.991,0
"RPL38",0,-0.641750476235825,0.995,0.965,0
"TRMT10C",0,0.397916090279814,0.664,0.167,0
"RPL4",0,0.563849751514676,0.996,0.935,0
"JUN",0,-1.47875939914785,0.861,0.913,0
"RPS27",0,-0.582994713514438,0.999,1,0
"LRRC75A",0,-2.05794773516725,0.606,0.769,0
"ALYREF",0,0.382559664769413,0.716,0.249,0
"DLK1",0,0.783585916446739,0.481,0.019,0
"RPL37A",0,-0.507800899967387,0.999,0.998,0
"MT-ND4",0,0.539852531605534,0.988,0.976,0
"HLA-C",0,-0.677289346692278,0.99,0.964,0
"RPS29",0,-0.739102822979549,0.996,0.995,0
"MEG3",0,0.503438611193617,0.327,0.013,0
"HBD",0,2.0134370295594,0.421,0.059,0
"RPS28",0,-0.407907438506704,0.999,0.997,0
"HBB",0,1.74267970185285,0.759,0.132,0
"LINC00152",0,0.563528093108346,0.666,0.191,0
"DUSP1",8.23707843650503e-307,-1.24157460776729,0.829,0.799,2.775401208396e-302
"TMEM14B",3.9714284235151e-302,0.552350616204917,0.823,0.348,1.33813309301918e-297
"CPVL",1.46763434444703e-301,0.363776045722736,0.751,0.267,4.94504716017981e-297
"GNB2",1.98777177674996e-301,0.360257084385547,0.791,0.309,6.69759822458131e-297
"UBE2Q1",2.18586039235079e-301,0.255453917319221,0.535,0.125,7.36503800598676e-297
"HLA-A",5.85556999722545e-300,-0.785142040384315,0.973,0.907,1.97297575486514e-295
"CENPW",1.35027639239732e-297,0.376203846752207,0.546,0.14,4.54962127654352e-293
"EEF1B2",7.37591827273455e-297,0.388327716358908,0.995,0.977,2.48524190281518e-292
"TESC",2.30688169800455e-296,0.414580989054052,0.484,0.106,7.77280719325652e-292
"PSAP",1.43118797977508e-295,0.372312798869944,0.666,0.21,4.82224477905417e-291
"TUBA1C",3.14577242147847e-293,0.463140695274537,0.79,0.311,1.05993655969296e-288
"BLVRB",9.08583685361173e-291,1.37878440605494,0.656,0.249,3.06138186945593e-286
"MRPL12",2.22567653578333e-289,0.314828825556569,0.739,0.271,7.49919451966835e-285
"H1FX",6.32585796157141e-288,0.983038577348163,0.974,0.644,2.13143458157187e-283
"HMGB3",5.95588179204268e-287,0.290087254113756,0.624,0.193,2.00677481101086e-282
"COCH",7.57277066194103e-285,0.333667665722052,0.467,0.098,2.55156934683441e-280
"RPL34",1.94694985450926e-283,-0.366441079270051,1,0.998,6.56005283978349e-279
"ZNF593",1.64783571098653e-282,0.26411291119293,0.764,0.284,5.55221764459801e-278
"TYMS",1.14008208109266e-281,0.602080285290182,0.673,0.244,3.84139256403361e-277
"DPPA4",1.07115812622847e-280,0.262965138591315,0.547,0.144,3.60916019051419e-276
"UROD",5.38278160294435e-280,0.466608033038214,0.725,0.282,1.81367443329607e-275
"MGST1",5.20520949925755e-279,0.607571634201646,0.879,0.405,1.75384328867984e-274
"SUPT16H",1.77081275512713e-278,0.298722220999771,0.651,0.218,5.96657649712536e-274
"TPGS2",2.29799041099033e-278,0.393907533756269,0.687,0.25,7.74284889079083e-274
"TUBB",2.74074762934086e-278,0.88619931083548,0.951,0.558,9.2346750623011e-274
"ERGIC3",4.29309534494485e-278,0.313658947294818,0.834,0.337,1.44651554552572e-273
"CENPV",7.84164045086261e-278,0.266344875108269,0.714,0.254,2.64216233351365e-273
"UQCRC1",1.45222689372498e-276,0.294204067176906,0.746,0.285,4.89313329571694e-272
"AHCY",1.04364228380733e-274,0.29561599874119,0.77,0.296,3.51644831106043e-270
"PABPC4",1.52487534740455e-274,0.28251116050953,0.703,0.254,5.13791499554488e-270
"RAD21",1.98850204461171e-274,0.302482217885206,0.667,0.228,6.70005878911468e-270
"SMC3",4.19778590061966e-274,0.294182743478564,0.712,0.257,1.41440198135479e-269
"MRPL37",3.0730275616362e-272,0.275634356219161,0.673,0.238,1.0354259066177e-267
"B2M",4.7535076941699e-272,-0.454826769520701,0.997,0.996,1.6016468824736e-267
"TXNIP",1.18492266235529e-271,0.581635311330175,0.868,0.401,3.99247841853993e-267
"PCBP1",1.27944744457867e-270,0.486779342731836,0.909,0.43,4.31097021976336e-266
"MT-CO3",2.90471359657427e-270,0.558975162041054,0.994,0.997,9.78714199229733e-266
"RPL36",6.7047739777057e-270,-0.373890419984618,0.997,0.993,2.25910654404816e-265
"PFN1",1.49842736087693e-268,0.632450802542708,0.982,0.637,5.04880114973873e-264
"COPS3",1.95937380954632e-268,0.286245971331008,0.704,0.258,6.60191411388536e-264
"AP2S1",1.26793982992487e-267,0.324766321945584,0.838,0.353,4.27219646294885e-263
"NAA50",1.42943597577229e-267,0.26781798296243,0.453,0.099,4.81634157676714e-263
"TMEM141",3.83287962539012e-267,0.335793976538269,0.499,0.128,1.29145046097895e-262
"CIB1",5.06984036006488e-267,0.269135639603235,0.736,0.277,1.70823201092026e-262
"RPL39",4.55502546080484e-265,-0.340411838513326,0.998,0.997,1.53477027876358e-260
"TFR2",3.16985208480043e-264,0.361368106394162,0.537,0.15,1.06804996145266e-259
"HNRNPAB",7.47471677721866e-262,0.509253580716225,0.874,0.407,2.51853107091605e-257
"HN1",2.93413911166151e-261,0.301418600631257,0.712,0.27,9.8862883228323e-257
"EIF4EBP1",2.96067618425798e-260,0.321434224584035,0.812,0.33,9.97570233523884e-256
"LEPROT",4.17702874504055e-260,0.26356272669665,0.769,0.3,1.40740806535396e-255
"H2AFV",6.8868770694843e-260,0.480055838795514,0.929,0.475,2.32046435979204e-255
"NDUFA6",3.07087001398521e-259,0.265098274682054,0.702,0.263,1.03469894251218e-254
"TAF9",3.64716247263257e-257,0.274752357789987,0.748,0.294,1.22887492352882e-252
"PGD",4.06794833152921e-257,0.266402520047411,0.669,0.236,1.37065451082545e-252
"FBXO7",7.85777887228629e-257,0.424528833486649,0.716,0.286,2.64760001322814e-252
"RPA3",2.97239544133814e-256,0.281250944196392,0.659,0.235,1.00151892000447e-251
"TFRC",1.91349750987687e-255,0.325204280306953,0.653,0.226,6.44733850977914e-251
"GLRX5",2.2450031393344e-255,0.448183464644269,0.802,0.352,7.56431357767332e-251
"AK2",2.07501051977032e-253,0.303370231642701,0.763,0.311,6.99154044531411e-249
"HSP90AA1",1.38607294978989e-252,0.578145356794225,0.993,0.863,4.67023419702206e-248
"EIF3A",1.68708586507612e-252,0.533876266068039,0.9,0.442,5.68446711378747e-248
"ATP5G1",1.79257200419511e-252,0.465437478853963,0.881,0.425,6.03989211093499e-248
"TMEM14C",7.02617867659866e-252,0.678142642378836,0.864,0.424,2.36740064329315e-247
"TXNL4A",1.03503897163203e-251,0.256962259242097,0.829,0.35,3.48746031101695e-247
"LYAR",2.18751007817446e-251,0.261134293957516,0.573,0.179,7.37059645740101e-247
"DDX39A",2.27626669710982e-249,0.29264904699886,0.746,0.294,7.66965300924182e-245
"DCTPP1",4.86769259708481e-249,0.282571000445167,0.759,0.302,1.64012034366176e-244
"UQCRFS1",5.98128399085494e-249,0.307460241534699,0.884,0.394,2.01533382787866e-244
"NUDT1",1.05196478132288e-248,0.283182820067232,0.768,0.314,3.5444901341893e-244
"HMGB2",3.14763553579529e-248,0.72874665585216,0.877,0.449,1.06056431743087e-243
"ISOC2",1.46216176309498e-247,0.30850805881685,0.621,0.215,4.92660784457222e-243
"MINOS1",3.33825525528077e-247,0.327407754120482,0.751,0.308,1.1247917257143e-242
"SYNGR1",7.81586641974917e-247,0.645193359893979,0.839,0.396,2.63347803147028e-242
"HMGN5",1.71737921012401e-246,0.312359282132698,0.566,0.178,5.78653751059185e-242
"SLBP",2.05820622969304e-246,0.299226429508177,0.634,0.225,6.93492007032772e-242
"HSP90B1",3.49856473709369e-246,0.560847529352734,0.897,0.437,1.17880640251635e-241
"TPM1",2.4946560453928e-245,0.330787749697744,0.484,0.126,8.40549407934649e-241
"SLC25A39",7.15146014705729e-244,0.289524867199851,0.602,0.209,2.40961298194948e-239
"PTBP1",2.06596516302877e-243,0.262427113145517,0.779,0.328,6.96106302030915e-239
"ATF7IP2",4.79288578927922e-242,0.299949982727717,0.594,0.194,1.61491493783974e-237
"BLVRA",1.66347859097362e-239,0.296746660356289,0.628,0.226,5.60492476442651e-235
"SLC29A1",2.79613184309585e-239,0.265451090295604,0.46,0.117,9.42128663212717e-235
"LSM4",5.84692351667783e-239,0.309893176595017,0.804,0.349,1.97006240970943e-234
"RBM3",1.75442210861239e-236,0.508332551850065,0.977,0.585,5.91134985275858e-232
"LST1",3.42597134661553e-236,0.431705397313085,0.666,0.255,1.15434678552864e-231
"STRA13",4.71478965580059e-236,0.28332776137524,0.625,0.225,1.58860122662545e-231
"APOC1",3.72060933933869e-235,0.979085533848601,0.331,0.047,1.25362211079678e-230
"MT-ND5",7.15362028219587e-234,0.641311742634139,0.98,0.92,2.41034081788308e-229
"SIVA1",3.68760598969862e-233,0.298362939486476,0.792,0.352,1.24250196216905e-228
"FTL",5.65601547610982e-233,0.458545322183956,0.998,0.958,1.90573785452044e-228
"PSMD7",9.52324725739718e-233,0.261046590194675,0.846,0.373,3.2087629309074e-228
"ANXA1",9.78014998758889e-233,0.406073158084491,0.646,0.218,3.2953237368182e-228
"DHFR",1.03807624978356e-232,0.34528128007699,0.446,0.11,3.49769411602072e-228
"SMIM10",2.98375041193154e-232,0.317858742700478,0.512,0.155,1.00534486379621e-227
"NME4",1.90270300001306e-231,0.39793653284821,0.845,0.392,6.41096748824402e-227
"MIS18BP1",5.60441906274265e-231,0.250463338008708,0.758,0.304,1.88835295900051e-226
"PTP4A2",1.09671323990941e-230,0.282046608938878,0.822,0.362,3.69526559055075e-226
"PSMB3",2.68820163011499e-229,0.357643095169197,0.897,0.434,9.05762657250946e-225
"SPCS1",5.85775484625575e-229,0.291099250589841,0.901,0.423,1.97371191789741e-224
"CTSW",6.90883053306275e-229,0.273097776442238,0.827,0.358,2.32786135981016e-224
"CENPM",5.46847144063838e-228,0.281503314197883,0.345,0.057,1.8425467672087e-223
"CENPU",1.24417773359349e-227,0.273717564886567,0.438,0.109,4.19213245556992e-223
"PRPF40A",2.15805934653907e-227,0.314151471497232,0.86,0.387,7.27136516222874e-223
"CKS1B",5.54332862677729e-227,0.334510589173884,0.552,0.182,1.86776914750634e-222
"LPCAT3",6.23081053888578e-227,0.276438639320317,0.41,0.094,2.09940930297217e-222
"CKS2",1.0448366306031e-226,0.321826636493211,0.726,0.302,3.5204725431541e-222
"GLRX",1.96610194759774e-226,0.799004005701197,0.642,0.261,6.62458390223583e-222
"ZFP36L2",5.23805619590146e-226,-0.728274161408766,0.973,0.915,1.76491065464704e-221
"S100A6",6.83106124830391e-226,1.12474129422939,0.943,0.56,2.30165777700352e-221
"CENPF",1.10657208611009e-224,0.495439957814738,0.455,0.119,3.72848398693934e-220
"PDZD8",2.08255810422445e-224,0.25633522554979,0.709,0.271,7.01697127637385e-220
"MPC2",1.40677079747439e-223,0.565819641714679,0.829,0.411,4.73997352501022e-219
"NOP10",3.97036327846986e-223,0.380229039806578,0.862,0.41,1.33777420304764e-218
"FEN1",9.06122575523959e-223,0.258765807155636,0.465,0.126,3.05308940597043e-218
"DNAJC9",1.31886390404962e-222,0.266398903412462,0.629,0.234,4.44378003830478e-218
"PLP2",3.24839728417725e-222,0.25299118988875,0.668,0.251,1.09451498093068e-217
"NDUFB9",3.18133837735187e-220,0.260766418622904,0.836,0.377,1.07192015286494e-215
"NDUFAF3",5.98435446427765e-220,0.305323267291139,0.82,0.368,2.01636839319371e-215
"COTL1",1.01482137298902e-219,0.338097354016279,0.598,0.212,3.4193391341492e-215
"BSG",2.09544317479651e-219,0.332060033113334,0.859,0.4,7.06038623315937e-215
"HMBS",9.59322030504164e-219,0.423579607570742,0.44,0.12,3.23233964958073e-214
"RPL36A",5.69497160960486e-218,-0.480746446161474,0.992,0.943,1.91886373414026e-213
"GINS2",2.81526286833958e-216,0.28282141990016,0.449,0.119,9.48574670858339e-212
"STOML2",6.70247386390854e-215,0.268738697223447,0.848,0.388,2.25833154370534e-210
"NDUFC2",8.91005146505777e-214,0.31208081123884,0.911,0.453,3.00215274063656e-209
"HEBP1",4.67713843487837e-213,0.28186451568387,0.75,0.325,1.57591502424792e-208
"LSM5",3.38944664395195e-212,0.259207480251118,0.858,0.393,1.14204015221317e-207
