"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PFN2",2.79342772659989e-44,0.301003466011708,0.251,0.035,9.41217538200566e-40
"COX7C",4.18157995771864e-44,-0.274893468902289,0.977,0.971,1.40894155095372e-39
"COX7A2L",4.77514672126679e-44,0.372661383782465,0.884,0.844,1.60893793626363e-39
"CDK2AP1",6.90760706333681e-44,-0.264888323710356,0.275,0.566,2.3274491239207e-39
"STT3B",1.18104619685597e-43,0.476571660277876,0.707,0.612,3.97941705568649e-39
"SNHG25",1.43182473169081e-43,-0.349898778342234,0.225,0.502,4.82439025095902e-39
"CD99",1.73805746592565e-43,0.404839769652945,0.894,0.845,5.85621082568989e-39
"LRRC75A",2.16049170422538e-43,-0.46708540265532,0.49,0.718,7.27956074821701e-39
"TMA7",2.88769943821213e-43,-0.43224324209165,0.92,0.962,9.72981448711195e-39
"NRIP1",6.44687783832184e-43,-0.545521030571698,0.425,0.669,2.17221101884416e-38
"LTB",1.37137569334616e-42,-0.732376921525609,0.038,0.181,4.62071326116057e-38
"MEIOB",1.44306063311858e-42,0.324427784986725,0.302,0.079,4.86224849722975e-38
"CITED4",2.10598183474888e-42,0.387469518271424,0.445,0.21,7.09589519400289e-38
"SATB1",3.32240583417984e-42,0.528745275902511,0.602,0.465,1.11945142176856e-37
"NCOA4",7.2551689696302e-42,0.271105681631063,0.706,0.621,2.4445566326272e-37
"KRT18",1.22812724964344e-41,0.532325735351012,0.696,0.549,4.1380519549486e-37
"KCNH2",1.29733888108342e-41,-0.305428003997433,0.034,0.168,4.37125362592246e-37
"CNRIP1",1.59990744144433e-41,-0.298624725694838,0.053,0.209,5.39072813320252e-37
"CA2",1.88246957475675e-41,-0.314020283678782,0.021,0.135,6.34279298518538e-37
"DDT",1.97910301638144e-41,-0.40544714180063,0.77,0.894,6.66838970339563e-37
"CALCOCO2",2.92853850756451e-41,0.492571230183371,0.605,0.463,9.86741764738784e-37
"IGFBP2",7.08055135344001e-41,0.358843277154754,0.507,0.268,2.38572097302808e-36
"TSC22D3",9.96727044020014e-41,0.599832704714679,0.815,0.69,3.35837210212104e-36
"PCBP2",1.68039320171646e-40,0.34316240341658,0.95,0.911,5.66191685386343e-36
"AGTRAP",3.03391862470148e-40,-0.29157077654308,0.26,0.534,1.02224854140692e-35
"FAM178B",3.31284428225859e-40,-0.421890657887074,0.013,0.113,1.11622975246421e-35
"DTD1",5.52130823174612e-40,-0.423469032094232,0.372,0.647,1.86034959560454e-35
"PTDSS1",5.54703390791846e-40,0.420569165435476,0.598,0.465,1.86901760493405e-35
"ARL4A",7.21905079144761e-40,-0.284808442103034,0.303,0.586,2.43238697367036e-35
"CEBPA",1.53012529703835e-39,0.399794615951182,0.542,0.321,5.15560417584101e-35
"UBL5",2.82559423438272e-39,-0.457922019275862,0.823,0.92,9.52055721332915e-35
"HMGB2",3.62604292231339e-39,-0.593841380691957,0.602,0.832,1.22175890224428e-34
"SPARC",4.10676083550213e-39,0.342877288125624,0.438,0.234,1.38373199591409e-34
"CSF3R",4.80095001866249e-39,0.435861690507353,0.744,0.534,1.61763209928814e-34
"PBX1",1.23379444156641e-38,-0.298022608044373,0.142,0.354,4.15714699141388e-34
"MIR181A1HG",1.33523235812379e-38,0.425516965497778,0.404,0.192,4.4989319074623e-34
"PHTF1",1.46405501203497e-38,-0.251827213180246,0.204,0.448,4.93298695755064e-34
"PET100",1.87806339011323e-38,-0.294348646306014,0.41,0.709,6.32794678664753e-34
"AC013461.1",3.45439026844112e-38,0.425745196568519,0.508,0.348,1.16392225704855e-33
"SLC38A2",5.29803706221995e-38,-0.303806376873816,0.338,0.621,1.78512060774439e-33
"MZB1",1.50272428358614e-37,0.348064784073933,0.559,0.328,5.06327920111514e-33
"MGLL",1.60444004681624e-37,-0.355434105543376,0.374,0.642,5.40600029374264e-33
"MZT2B",2.72197298400765e-37,-0.361135913522368,0.944,0.949,9.17141577231536e-33
"MFNG",3.44440312396797e-37,-0.276078695740297,0.336,0.632,1.16055718858977e-32
"PRSS21",5.09626570674948e-37,0.414387942451692,0.723,0.563,1.71713576723217e-32
"CISD2",5.13994164275776e-37,-0.274073953469268,0.258,0.515,1.7318519371108e-32
"POLR2J3",6.34411737654726e-37,0.431750482009108,0.816,0.731,2.13758690885383e-32
"NDUFB7",1.24599642187377e-36,-0.352069188162427,0.688,0.862,4.19826034386148e-32
"NDUFA3",1.90730160122744e-36,-0.369033252721488,0.529,0.774,6.42646201517574e-32
"MTDH",2.21663595953546e-36,0.342441963639964,0.942,0.901,7.4687332020588e-32
