"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AC090498.1",2.06695505407896e-46,-0.513209205831987,0.548,0.557,6.96439835921366e-42
"ARHGAP24",1.10188161933505e-45,-0.629785719336672,0.042,0.147,3.71267992818752e-41
"TUBA1B",4.09340664027964e-44,0.305763602553757,0.965,0.854,1.37923243337582e-39
"RHOB",1.33510704799949e-41,0.441580422611904,0.32,0.172,4.49850968752948e-37
"SPIB",1.42216096874236e-41,-0.549234056924776,0.051,0.154,4.79182916808049e-37
"ARF5",1.44615711642605e-41,-0.442547945453981,0.369,0.461,4.87268178808595e-37
"ANXA1",2.57755274291466e-41,0.422462213182309,0.688,0.455,8.68480621197665e-37
"ARGLU1",6.00324042472581e-40,-0.613799713240295,0.825,0.731,2.02273182870711e-35
"JUNB",9.24917870188231e-40,-0.695978011255672,0.767,0.769,3.11641827181223e-35
"CRIP1",1.67212460052843e-39,-0.506274328168,0.081,0.189,5.63405662902048e-35
"ARL4C",2.16323705437281e-39,-0.660987912620022,0.083,0.191,7.28881093100375e-35
"H1FX",2.25107629975707e-39,0.276271076662591,0.919,0.702,7.58477648440147e-35
"BIRC3",1.12355434255596e-38,-0.551110144397178,0.053,0.15,3.78570400180805e-34
"TXNIP",1.20594114732148e-37,-1.01592053825684,0.88,0.794,4.06329810178498e-33
"HIST1H1C",1.24423041367334e-37,-0.543648121192767,0.299,0.399,4.19230995583094e-33
"HIST1H1D",5.8929129490828e-37,-0.555565517314539,0.294,0.382,1.98555808906396e-32
"MEGF9",4.39938833215019e-36,0.267110061817812,0.255,0.13,1.48232990463469e-31
"BANK1",1.51631553390422e-34,-0.861021345458418,0.12,0.22,5.10907355993687e-30
"GATA2",2.27329311728985e-34,0.302965187815672,0.452,0.3,7.65963382939642e-30
"FCER1G",2.13936029314495e-33,0.365106680137679,0.346,0.203,7.20836057172261e-29
"CSTA",2.71047684633765e-33,0.383306009789577,0.255,0.133,9.13268068605007e-29
"TCF7",4.67874170457599e-33,-0.482523236804521,0.088,0.186,1.57645522993983e-28
"PLAC8",8.65765506800465e-32,0.259300023967511,0.799,0.611,2.91711029861349e-27
"GPR183",1.96627032576384e-31,-0.543338535128189,0.094,0.188,6.62515123562867e-27
"RALGPS2",2.27791624574568e-31,-0.983397299140245,0.238,0.333,7.67521099841549e-27
"RGCC",2.42741925423133e-31,0.283049032113288,0.293,0.168,8.17894643520704e-27
"PSMB10",4.35172410970936e-29,-0.322874203012444,0.246,0.346,1.46626992152547e-24
"CD52",4.92467193793829e-29,-1.17798824721473,0.608,0.611,1.65931896276893e-24
"HLA-C",4.98523986835624e-29,-0.655649233209345,0.963,0.89,1.67972672124395e-24
"AHSP",5.29762253536641e-28,-0.440992060531845,0.207,0.324,1.78498093706636e-23
"AP000769.1",5.30053520139474e-28,-0.296717684613443,0.052,0.132,1.78596233075794e-23
"CD79B",1.14610690846452e-25,-1.27594710903548,0.225,0.301,3.86169261738037e-21
"DDX5",7.02262856144179e-25,-0.394673032440007,0.981,0.94,2.3662044674922e-20
"MARCH1",7.10692820443048e-25,-0.459319895078363,0.111,0.201,2.39460838920081e-20
"OSBPL10",9.37896144801258e-25,-0.299912128475252,0.054,0.126,3.16014727029336e-20
"CXCR4",1.20255119064382e-24,-0.841209029131979,0.458,0.503,4.05187598175528e-20
"STK17A",2.72582330701642e-24,-0.539433739489068,0.256,0.34,9.18438905066111e-20
"AREG",6.7801193349136e-24,-0.683221561365494,0.138,0.22,2.28449340870579e-19
"HIST1H1B",1.44417313238542e-23,-0.34686749937623,0.12,0.206,4.86599695225943e-19
"MIF",2.93084790075877e-22,-0.496817186073065,0.703,0.588,9.87519891681659e-18
"HLA-DRA",4.03110642913918e-22,-1.10999452446503,0.558,0.6,1.35824100023416e-17
"ETS1",6.45760151638406e-22,-0.481747439472735,0.097,0.17,2.17582425493044e-17
"LYZ",2.12008043717259e-21,0.686846287492521,0.704,0.547,7.14339902500932e-17
"CD37",2.89150193904223e-21,-1.07266499984485,0.896,0.795,9.74262663340889e-17
"PRTN3",5.50827746164919e-21,0.893167912999617,0.207,0.124,1.85595900792808e-16
"AZU1",1.2814344023676e-20,0.759221379317667,0.261,0.167,4.31766507533738e-16
"TMEM2",1.36855538565772e-20,-0.351912082413431,0.073,0.142,4.61121051643514e-16
"ELANE",8.11940209357653e-20,0.699440038542193,0.214,0.131,2.73575134140968e-15
"GLTSCR2",9.40955776952391e-20,-0.265313659803236,0.948,0.84,3.17045639486339e-15
"UBXN1",1.3215024724577e-18,-0.399091583612524,0.82,0.706,4.45267043069896e-14
"RBM39",2.6772701394945e-18,-0.382930485636523,0.94,0.811,9.02079400801276e-14
"HLA-DPA1",2.73904434652742e-18,-1.2675050800134,0.467,0.499,9.2289360211895e-14
"CYP1B1",5.64076075364838e-18,0.512100634980137,0.113,0.056,1.90059792833429e-13
"LBH",3.02684340142604e-17,-0.359970360595065,0.096,0.16,1.01986461567649e-12
"FCER1A",4.09575207747852e-17,0.267645345492049,0.415,0.305,1.38002270498561e-12
"PIK3IP1",1.46449853352473e-16,-0.454452907691967,0.095,0.157,4.93448135885823e-12
"KCTD12",3.21618527633459e-16,0.265126487476354,0.182,0.112,1.08366146700818e-11
"CD48",1.45614041364561e-15,-0.591891841960655,0.285,0.335,4.90631950973752e-11
"PDE4B",2.62479286518418e-14,-0.313447387143154,0.094,0.151,8.84397707995158e-10
"DDIT4",2.85538652225635e-14,-0.38521685951955,0.135,0.195,9.62093934809055e-10
"ARID5B",3.48874889408755e-14,-0.438712151061742,0.092,0.146,1.17549905237386e-09
"ERP29",3.732220166677e-14,-0.309613405833803,0.933,0.801,1.25753426296015e-09
"STK4",4.99641753264738e-13,-0.625919665240481,0.602,0.574,1.68349292345021e-08
"CTSH",5.37542523124008e-13,-0.344945611010023,0.17,0.235,1.81119577741403e-08
"MPEG1",1.30645868937622e-12,0.361399883724912,0.203,0.14,4.40198190798424e-08
"CXCL8",1.49716030243432e-12,0.678735295126041,0.245,0.171,5.04453192302219e-08
"KLF6",3.35618594765815e-12,0.270045257623042,0.77,0.645,1.13083329320394e-07
"LINC00926",3.72528041920603e-12,-0.549815127312796,0.117,0.165,1.25519598444728e-07
"CIRBP",4.41903256290895e-12,-0.304355760463115,0.92,0.816,1.48894883174654e-07
"TMSB4X",5.99819837852077e-12,-0.386086390903046,0.956,0.914,2.02103296165879e-07
"LIMD2",3.14573300779229e-11,-0.426970234479879,0.853,0.749,1.05992327964553e-06
"EMP3",2.48104653265154e-10,-0.279573854936232,0.817,0.74,8.3596381871161e-06
"FAM178B",6.40775471164218e-10,-0.457322748614632,0.271,0.324,2.15902887254072e-05
"SPOCK2",2.11815953799029e-09,-0.431555825368486,0.091,0.13,7.13692674730447e-05
"MYL12A",3.68911569955681e-09,-0.3916815591068,0.903,0.77,0.000124301064380867
"SERPINA1",6.9147951231972e-09,0.443289534267772,0.146,0.103,0.000232987106881007
"SEPT7",7.07715463954044e-09,-0.378368039389809,0.829,0.684,0.000238457648424675
"SARAF",8.81061293052371e-09,-0.467094782713837,0.869,0.734,0.000296864792081066
"SMARCB1",1.13168570617462e-08,-0.384477952344399,0.502,0.479,0.000381310181838476
"CCDC50",1.83627371717723e-08,-0.352620936444742,0.162,0.205,0.000618714066265697
"HLA-DPB1",1.93923858161018e-08,-1.16781411449792,0.596,0.56,0.000653407047687735
"GIMAP7",2.79024502902057e-08,-0.480388139956161,0.12,0.159,0.00094014516007819
"TSTD1",4.82668411049452e-08,-0.544240070989103,0.586,0.541,0.00162630294419002
"MPHOSPH8",6.93121291735928e-08,-0.449143572642759,0.711,0.621,0.00233540288037504
"GIMAP4",8.54792215027102e-08,-0.266351631423278,0.078,0.115,0.00288013688931232
"C19orf53",1.5696650616263e-07,-0.294295301929183,0.836,0.679,0.00528882945864367
