"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TPX2",5.61245973595186e-49,-0.281502572837619,0.149,0.292,1.89106218343162e-44
"ZFP36L1",5.95143101270021e-49,-0.359954297678571,0.149,0.281,2.00527516541921e-44
"MRPS16",6.45324008671211e-49,-0.318011043339402,0.476,0.59,2.17435471481678e-44
"SRRM2",6.60878778641671e-49,-0.283228043904348,0.914,0.859,2.22676495675525e-44
"CLPP",1.17563845415214e-48,-0.286745297069862,0.441,0.561,3.96119620742022e-44
"ERH",1.83950556029632e-48,-0.352843166233898,0.839,0.81,6.19803003486244e-44
"C19orf70",2.05184565546113e-48,-0.331274298992553,0.669,0.714,6.91348875151073e-44
"C1QBP",2.69177153467895e-48,-0.367293798285712,0.91,0.86,9.06965500894724e-44
"PFDN6",3.72013338087234e-48,-0.305672934403775,0.376,0.508,1.25346174135113e-43
"BOP1",3.85376313835643e-48,-0.283939040043014,0.313,0.454,1.29848695183782e-43
"CLTA",5.23861519461252e-48,-0.287742785339858,0.865,0.828,1.76509900367274e-43
"DBI",5.83020650463219e-48,-0.30370410157943,0.74,0.78,1.96442977967077e-43
"ENDOG",6.42328263288242e-48,-0.251401776591223,0.306,0.45,2.1642608503234e-43
"ISOC2",9.77969215460145e-48,-0.411199669701673,0.448,0.547,3.29516947457141e-43
"MRPL23",1.09521988558565e-47,-0.340293049686275,0.609,0.69,3.69023388249228e-43
"TMA7",1.14523174355621e-47,-0.309543523305663,0.963,0.921,3.8587438367383e-43
"POLR2E",1.23040844794067e-47,-0.389086661303655,0.564,0.629,4.14573822449129e-43
"EIF4E2",1.54255105478157e-47,-0.29403433893475,0.357,0.497,5.19747152398103e-43
"HNRNPD",1.60240551444657e-47,-0.307062025083752,0.916,0.877,5.39914514037626e-43
"DNAJC8",4.2848459467244e-47,-0.359986033600479,0.68,0.715,1.44373599328932e-42
"HMGB3",4.89424840983293e-47,-0.308624833564185,0.308,0.454,1.64906805920911e-42
"CLTB",5.60463966791375e-47,-0.259238832928694,0.337,0.486,1.88842728970686e-42
"HES6",6.37133277760449e-47,-0.480782760955276,0.091,0.202,2.14675686608606e-42
"TMEM261",6.51468391260666e-47,-0.318099522215199,0.474,0.582,2.19505759751369e-42
"TSTA3",1.04989429746422e-46,-0.305064013136076,0.326,0.467,3.53751384587594e-42
"FDPS",1.43571519343385e-46,-0.393799077708927,0.645,0.687,4.83749877275603e-42
"SNRPC",1.75288544613944e-46,-0.355325474372865,0.77,0.766,5.90617222222223e-42
"CBX5",2.38333555247766e-46,-0.36651613224927,0.451,0.567,8.03041081051821e-42
"SNF8",3.5524973563076e-46,-0.313206210063512,0.502,0.605,1.19697845923428e-41
"PAK1IP1",4.36515884919625e-46,-0.276584644560581,0.233,0.375,1.47079662264819e-41
"BRI3BP",1.56216153394621e-45,-0.271613397772926,0.361,0.503,5.26354707247835e-41
"STOML2",6.64734661924285e-45,-0.344390531129936,0.717,0.729,2.23975696988768e-40
"DPM2",6.9142520367649e-45,-0.263516488640647,0.292,0.434,2.32968808126757e-40
"SAMHD1",7.60744239449259e-45,-0.418597778127608,0.114,0.239,2.56325164040033e-40
"SSSCA1",9.09297277946744e-45,-0.298966823398342,0.345,0.476,3.06378624831376e-40
"NDUFC1",1.00675616469963e-44,-0.334781344187561,0.582,0.661,3.39216422133893e-40
"MRPL55",1.25847662194519e-44,-0.295077577180678,0.426,0.544,4.24031112998212e-40
"MCL1",1.32384968827753e-44,-0.642031818567778,0.738,0.735,4.4605791396823e-40
"UQCC3",1.67241295383845e-44,-0.272279731638935,0.331,0.472,5.63502820666326e-40
"AURKB",1.76359246807704e-44,-0.27781644673197,0.094,0.209,5.94224846193877e-40
"PSMG3",2.57734122580199e-44,-0.257168618208844,0.291,0.433,8.68409352621724e-40
"SOD2",3.53809572310829e-44,0.253243286983293,0.645,0.516,1.19212597294411e-39
"H2AFX",3.73156933751854e-44,-0.426512465249294,0.326,0.457,1.2573149725835e-39
"DCXR",4.70327927588841e-44,-0.278241557939778,0.414,0.541,1.58472291921784e-39
"PDAP1",7.05138460297444e-44,-0.399226532689381,0.543,0.619,2.37589352812621e-39
"THRAP3",7.09377755214407e-44,-0.307219022646746,0.74,0.754,2.39017740841942e-39
"RPL22L1",1.03695479807665e-43,-0.405998600487392,0.932,0.885,3.49391549663947e-39
"NDUFB9",1.22985889136778e-43,-0.344931818957298,0.755,0.76,4.14388654857461e-39
"PSMB4",1.77704876439235e-43,-0.306133381355921,0.671,0.713,5.98758810674357e-39
"SRSF9",2.76805080199943e-43,-0.290984346733762,0.841,0.821,9.32667037225689e-39
"C14orf2",2.90389968901486e-43,-0.267511685057537,0.923,0.879,9.78439961216667e-39
"LYAR",4.21246124404681e-43,-0.318057789871563,0.342,0.463,1.41934669156913e-38
"MRPL54",1.55854413628979e-42,-0.309892803205968,0.64,0.696,5.25135861281482e-38
"YWHAE",2.19619452644914e-42,-0.290754269074902,0.873,0.829,7.39985783741773e-38
"WDR43",2.23770592327355e-42,-0.306779108470042,0.432,0.554,7.53972633787789e-38
"METAP2",3.68756148510766e-42,-0.395427423655081,0.725,0.744,1.24248696679217e-37
"CYC1",4.07784440194853e-42,-0.372560214794548,0.722,0.723,1.37398889279254e-37
