"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PEBP1",7.24195272820247e-66,0.278646347144423,0.956,0.885,2.44010355224054e-61
"PPP1R14B",3.50742863866168e-65,0.309939614526617,0.89,0.769,1.18179300551067e-60
"UQCRC1",6.47808736010282e-65,0.252060981352095,0.746,0.578,2.18272675511304e-60
"CRIP1",7.94038431046984e-65,-0.260976354993914,0.028,0.133,2.67543308956971e-60
"ANGPT2",8.64812698564815e-65,-0.287341191296507,0.061,0.188,2.91389990654429e-60
"S1PR4",1.4280624135916e-64,-0.37882862471942,0.573,0.674,4.81171349635555e-60
"HSP90B1",2.94697133253577e-64,0.347101296495392,0.897,0.783,9.92952520784604e-60
"HNRNPH1",7.88867226951184e-64,-0.408203009254376,0.842,0.851,2.65800923448932e-59
"TAGAP",9.7889889405931e-64,-0.300419000232284,0.189,0.356,3.29830193364344e-59
"HDGF",2.06054873041126e-63,0.283312736425781,0.789,0.628,6.94281289224769e-59
"AHSP",2.35914652593239e-63,0.774319215860113,0.268,0.104,7.9489083044766e-59
"TSPO",4.75816263176802e-63,0.317263050517435,0.908,0.814,1.60321531714792e-58
"NUDT1",5.26314237676245e-63,0.279617032194912,0.768,0.603,1.77336319242634e-58
"CLEC11A",5.65708789394871e-63,0.415463262953452,0.887,0.749,1.90609919498708e-58
"MPC2",8.97074698601565e-63,0.492684431804031,0.829,0.708,3.02260348946811e-58
"HMGN5",6.74531430641374e-62,0.266261050546163,0.566,0.379,2.27276620240305e-57
"KLF2",9.35907583718981e-62,-0.7665294838936,0.286,0.468,3.15344701258273e-57
"FKBP4",1.97687861281531e-61,0.275115891757589,0.734,0.573,6.66089479801991e-57
"P4HB",8.45376908429664e-61,0.276785618288984,0.89,0.766,2.84841295526291e-56
"SNRPD3",8.97554333730014e-61,0.255077043059823,0.888,0.781,3.02421957206991e-56
"LYL1",1.02515969969026e-60,-0.349527458850019,0.919,0.839,3.45417309213638e-56
"WSB1",1.02924680904126e-60,-0.379017049191702,0.606,0.683,3.46794419838361e-56
"APOC1",1.247475241198e-60,0.512423993408859,0.331,0.156,4.20324307769255e-56
"DUSP6",1.29094441289645e-60,-0.353770305950695,0.219,0.387,4.3497081048133e-56
"MIF",1.57843901470992e-60,-0.355329057850467,0.83,0.83,5.3183924161636e-56
"IER2",2.3438337913266e-60,-0.766320615690721,0.777,0.798,7.89731357649586e-56
"PHB",2.24962061085935e-59,0.274014307691678,0.847,0.737,7.57987168622951e-55
"SRM",2.39941195675179e-59,0.276324243915905,0.83,0.693,8.08457864707947e-55
"GAPDH",2.43016428892762e-59,0.295483978923215,0.996,0.983,8.18819555511274e-55
"BLVRA",2.69641919382575e-59,0.280391580431774,0.628,0.466,9.08531483167648e-55
"MCM7",1.16406472520412e-58,0.297329328995849,0.766,0.593,3.92219968510277e-54
"ITGA2B",1.86385870352212e-58,0.313437739056239,0.261,0.106,6.28008551564744e-54
"EIF3B",3.31795990661817e-58,0.251912737096277,0.793,0.642,1.11795341093593e-53
"TRA2B",6.24140227045234e-58,-0.334453285421773,0.885,0.874,2.10297808100621e-53
"CITED2",8.36709410888717e-58,-0.607176922794907,0.537,0.631,2.81920868904844e-53
"LSM3",1.48090089918954e-57,0.251640059385856,0.86,0.723,4.98974748972922e-53
