"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LMO4",1.13275082470969e-50,-0.477800221865987,0.445,0.612,3.81669062877682e-46
"ODF3B",1.21233811141625e-50,0.528414328299216,0.393,0.294,4.08485203260592e-46
"H1FX",2.15823683505685e-50,0.817225162175881,0.838,0.864,7.27196319204055e-46
"HBP1",2.9871533222467e-50,0.259828826669265,0.283,0.159,1.0064914403978e-45
"DDAH2",3.00488286643095e-50,-0.289428646150011,0.432,0.585,1.01246523301525e-45
"PLXNB2",4.15557179805004e-50,0.419684869924527,0.324,0.208,1.40017836163498e-45
"HIGD2A",4.80295067183899e-50,0.349835766988197,0.793,0.786,1.61830619936943e-45
"IL1B",5.18075418401870e-50,1.06671381317259,0.504,0.405,1.74560331476326e-45
"CLEC2B",5.60433600588502e-50,0.393902890557076,0.646,0.581,1.8883249738229e-45
"PRNP",6.83570294600312e-50,0.339282932180166,0.431,0.321,2.30322175062629e-45
"IQGAP2",1.08929983459191e-49,-0.255635127722335,0.536,0.684,3.670286862674e-45
"ATP6AP2",4.36120484582379e-49,0.365950207372856,0.649,0.586,1.46946436075187e-44
"SRRM1",5.43848312817762e-49,-0.256380974487794,0.765,0.836,1.83244250520817e-44
"OSGIN2",5.51999052696492e-49,0.252980483956738,0.291,0.173,1.85990560815556e-44
"SEC61G",6.25718114934251e-49,-0.288344924063163,0.62,0.738,2.10829461645947e-44
"LENG8",1.50875502618012e-48,0.62889079770716,0.478,0.371,5.08359918521129e-44
"PLIN3",2.07845184133984e-48,-0.266047828757278,0.496,0.634,7.00313563421044e-44
"LYST",1.67889749003765e-47,0.359806782277903,0.353,0.229,5.65687720293286e-43
"H2AFJ",2.48171033350633e-47,0.342409746938447,0.55,0.46,8.36187479771623e-43
"HERPUD1",2.57728848413043e-47,0.420204048201595,0.665,0.586,8.68391581842906e-43
"EVL",3.20352131427188e-47,-0.301673099206704,0.42,0.581,1.07939447163077e-42
"CDV3",3.20657538206028e-47,0.388190399934809,0.736,0.701,1.08042350923139e-42
"SERINC1",3.89919544076745e-47,0.262917676074642,0.377,0.256,1.31379491181218e-42
"FNIP1",8.06861692823182e-47,0.328207085368776,0.529,0.437,2.71863978779843e-42
"CHD1",9.93092638807155e-47,0.354519250799117,0.538,0.444,3.34612633719683e-42
"CYLD",2.12363459460761e-46,0.272574690117816,0.468,0.353,7.15537440307089e-42
"TBXAS1",2.4376817112864e-46,0.297119483052647,0.368,0.259,8.21352475800841e-42
"TCF7",5.80309794437493e-46,-0.269008660240479,0.162,0.288,1.95529582137769e-41
"PPT1",7.15709372153639e-46,0.317481107921581,0.547,0.459,2.41151115853447e-41
"RHOA",1.14252189903159e-45,0.297953293314469,0.841,0.833,3.84961328659704e-41
"STK17A",1.37805175245031e-45,-0.3044979849607,0.296,0.439,4.64320757470607e-41
"CRTAP",2.81911920198522e-45,0.390403931556976,0.493,0.411,9.49874023916901e-41
"APP",5.20365696531648e-45,-0.431534628378937,0.329,0.475,1.75332017789373e-40
"ZBTB7A",6.35355929918574e-45,0.344487124147153,0.525,0.442,2.14076827026764e-40
"ATP6V0D1",1.42004224136267e-44,0.390206766359604,0.534,0.456,4.78469032804739e-40
"UBALD2",2.70525576026736e-44,0.369762225410817,0.632,0.574,9.11508875864483e-40
"MYO9B",2.92875578445433e-44,0.365743726919763,0.479,0.383,9.86814974014041e-40
"ARRDC2",2.68703210562353e-43,0.276845913726884,0.283,0.173,9.05368597668793e-39
"CTSB",3.19560725392001e-43,0.402210410314162,0.589,0.512,1.07672790813581e-38
"RASSF5",5.22763182496351e-43,0.295936765827402,0.332,0.217,1.7613982671032e-38
"AC074289.1",8.69363772354818e-43,0.255787916405661,0.14,0.05,2.92923429457232e-38
"PTPN18",1.82719002671153e-42,0.397486648782218,0.469,0.384,6.15653407600185e-38
"FOXN3",1.92437145461197e-42,0.282910056817912,0.571,0.489,6.48397717916956e-38
"YPEL2",2.06512006699581e-42,0.266011530185815,0.255,0.145,6.95821555373569e-38
"SNX10",2.34564136084098e-42,0.395130743722933,0.407,0.31,7.90340400121758e-38
"TMED10",3.24371028833854e-42,-0.279599739479993,0.607,0.712,1.09293574455279e-37
"QKI",4.0152021877803e-42,0.39121818683567,0.585,0.514,1.3528822251507e-37
"QSOX1",5.21119318707551e-42,0.252612377856188,0.313,0.205,1.75585943245322e-37
"IQGAP1",2.21547698874386e-41,0.433423097057154,0.665,0.631,7.46482816587356e-37
"ARL8A",2.45210949956255e-41,0.281605503627737,0.38,0.278,8.26213774782606e-37
"TRAC",3.0278869747372e-41,-0.629605063018948,0.038,0.105,1.02021623726795e-36
"BNIP2",3.67477960110227e-41,0.335577336405979,0.526,0.444,1.2381802387954e-36
"PPP2R5C",5.9729849722712e-41,0.272483739358142,0.571,0.484,2.01253755655706e-36
"JARID2",6.80426203199383e-41,0.47354777869673,0.595,0.538,2.29262804906e-36
"BLVRA",1.30284417641945e-40,0.352713825850674,0.506,0.43,4.38980316802769e-36
"EPB41L3",5.88617440232641e-40,0.25206208236729,0.207,0.111,1.98328760311986e-35
"CMTM6",6.77200390163868e-40,0.369442150730698,0.58,0.515,2.28175899461814e-35
"HIST2H2AC",9.69153448822505e-40,-0.314609138169846,0.26,0.383,3.26546563046255e-35
